prompt;scenario
Anticipate a future scenario for the European society in the 2030:;due to demographic change, there is a shortage of qualified workers in all areas
Anticipate a future scenario for the European society in the 2030:;the societal debate on the ethics of brain research is still controversial
Anticipate a future scenario for the European society in the 2030:;a new societal consensus on the role of science and research in society has developed
Anticipate a future scenario for the European society in the 2030:;The share of EU agricultural land in organic production increased to 35% by 2030
Anticipate a future scenario for the European society in the 2030:;new products and services are being developed to enable the use of digital assets beyond death
Anticipate a future scenario for the European society in the 2030:;In the area of mobility, there is a strong need for more public transport options and infrastructure
Anticipate a future scenario for the European society in the 2030:;the implementation of digital identity systems enables the digitization and networking of all public administration, which in turn increases transparency
Anticipate a future scenario for the European society in the 2030:;the European Union is a leading actor in the field of social policy and promotes new forms of solidarity
Anticipate a future scenario for the European society in the 2030:;there is a growing consensus that the world has become more complex and less predictable
Anticipate a future scenario for the European society in the 2030:;the majority of people in Europe are employed in the service sector, with a high level of education and income
Anticipate a future scenario for the European society in the 2030:;it is expected that the crisis management capacity of European institutions and member states will be severely challenged
Anticipate a future scenario for the European society in the 2030:;the increasing urbanization and the global megatrend of ageing have a strong impact on society
Anticipate a future scenario for the European society in the 2030:;many people feel the urge to travel, others are afraid of flying
Anticipate a future scenario for the European society in the 2030:;The EU27 has developed a comprehensive industrial policy that supports strategic sectors and firms, with strong public investment in research and innovation
Anticipate a future scenario for the European society in the 2030:;the city is becoming more and more the place where people want to live
Anticipate a future scenario for the European society in the 2030:;the concept of the commons is used as an umbrella term for all non-exclusive resources
Anticipate a future scenario for the European society in the 2030:;it is likely that the process of global urbanization will continue, with cities becoming even more important for politics and society
Anticipate a future scenario for the European society in the 2030:;The EU's geopolitical influence is declining and its power to shape the world order is limited
Anticipate a future scenario for the European society in the 2030:;the process of regionalization is advancing in all areas
Anticipate a future scenario for the European society in the 2030:;Citizens are able to participate in political decision-making processes, but they do not want to
Anticipate a future scenario for the European society in the 2030:;the crisis of trust in institutions and the media, but also social inequality are driving conditions for a new culture of protest
Anticipate a future scenario for the European society in the 2030:;the EU's migration policies are still heavily influenced by the need to control and reduce migratory flows
Anticipate a future scenario for the European society in the 2030:;the global financial crisis and the associated climate change have led to a loss of trust in national governments, supranational institutions such as the EU or UN are perceived as incapable of dealing with
Anticipate a future scenario for the European society in the 2030:;a large part of the population lives in rural areas, they have a more conservative worldview and are less open to change
Anticipate a future scenario for the European society in the 2030:;In 2030, the European Union has established a global leadership position in AI and robotics research and innovation
Anticipate a future scenario for the European society in the 2030:;the social system is organized in a way that enables everyone to participate and develop their potential
Anticipate a future scenario for the European society in the 2040:;The EU is an active player in the global scene, leading initiatives to address climate change and sustainable development
Anticipate a future scenario for the European society in the 2040:;the society is experiencing an identity crisis
Anticipate a future scenario for the European society in the 2040:;The global migration crisis has escalated, with more than 60 million people displaced globally
Anticipate a future scenario for the European society in the 2040:;Europe is in a state of stagnation, with political and economic power shifting to Africa, Asia, and the Americas
Anticipate a future scenario for the European society in the 2040:;After decades of slow growth, the EU is finally recovering from its economic crisis
Anticipate a future scenario for the European society in the 2040:;The EU invests in research and innovation to reduce dependence on imports, while improving the digital infrastructure
Anticipate a future scenario for the European society in the 2040:;the European Union invests in sustainable agriculture and food production, leading to self-sufficiency for the EU population
Anticipate a future scenario for the European society in the 2040:;By 2040, the EU has adopted a comprehensive regulatory framework for AI and data protection
Anticipate a future scenario for the European society in the 2040:;The EU invests in green technology and leads the global transition to a carbon-free economy
Anticipate a future scenario for the European society in the 2040:;The EU invests in green technologies and sustainable agriculture, leading to increased competitiveness of European companies
Anticipate a future scenario for the European society in the 2040:;In the EU, regional disparities have increased and social inequalities widened
Anticipate a future scenario for the European society in the 2040:;the population has declined in many countries, and the focus of national policies is on supporting a small elite
Anticipate a future scenario for the European society in the 2040:;In the EU, public spending on health and welfare is kept at current levels
Anticipate a future scenario for the European society in the 2040:;Europe is a leader in sustainable innovation, and the EU invests heavily in sustainability research
Anticipate a future scenario for the European society in the 2040:;the world is in a stable state of equilibrium, with economic growth and social progress under control
Anticipate a future scenario for the European society in the 2040:;After several decades of decline, social mobility has increased due to improved education and health care
Anticipate a future scenario for the European society in the 2040:;In 2040, the EU is a leader in green technologies and has established an international leadership position on climate change
Anticipate a future scenario for the European society in the 2040:;the urban areas are more and more the drivers of change, both politically as well as economically
Anticipate a future scenario for the European society in the 2040:;Stricter immigration policies and border control are implemented, limiting access to Europe for non-EU citizens
Anticipate a future scenario for the European society in the 2040:;the social system is not sustainable, and the political power struggles are hindering progress
Anticipate a future scenario for the European society in the 2040:;social and economic inequality is on the rise, leading to a decrease in trust towards institutions
Anticipate a future scenario for the European society in the 2040:;The EU invests in sustainable technologies and promotes circular economy, with a focus on climate change
Anticipate a future scenario for the European society in the 2040:;The EU is the leading player in global trade, and its priority is to maintain a favourable position for European companies
Anticipate a future scenario for the European society in the 2040:;Society is strongly polarized, with distrust in institutions and a perceived lack of political leadership
Anticipate a future scenario for the European society in the 2040:;EU is a leader in AI and digital transformation, but its companies face challenges due to high taxation, bureaucracy, and restrictive labor laws
Anticipate a future scenario for the European society in the 2040:;the EU invests in research and innovation to increase competitiveness, while social policies are increasingly managed at the national level
Anticipate a future scenario for the European society in the 2040:;the EU has lost its global influence and is in decline
Anticipate a future scenario for the European society in the 2040:;the EU is a leader in green technology, with its industry becoming more competitive and sustainable
Anticipate a future scenario for the European society in the 2040:;Europe is not competitive in the global economy, and its share of world GDP has decreased
Anticipate a future scenario for the European society in the 2040:;The EU is a leader in the circular economy, climate action, and green technology
Anticipate a future scenario for the European society in the 2050:;The EU invests in education, research and innovation to increase the competitiveness of European companies
Anticipate a future scenario for the European society in the 2050:;The European agricultural sector is strongly focused on local demand and supply, with a high share of organic production
Anticipate a future scenario for the European society in the 2050:;The world is on the path to meeting SDG 1, with all countries reaching at least ‚Äúmoderate‚Äù levels of food security
Anticipate a future scenario for the European society in the 2050:;A major shift towards a plant-based diet is seen with increased demand for food produced in sustainable ways
Anticipate a future scenario for the European society in the 2050:;In the EU, agriculture and rural areas are revitalised by new technologies that improve productivity
Anticipate a future scenario for the European society in the 2050:;the EU has a functioning circular economy, with sustainable production and consumption patterns
Anticipate a future scenario for the European society in the 2050:;all food production and processing is based on circular principles
Anticipate a future scenario for the European society in the 2050:;The EU has implemented strong measures to reduce food waste, and the value of second-hand markets for used goods is significant
Anticipate a future scenario for the European society in the 2050:;In the EU, public spending on education and health is reduced by ca
Anticipate a future scenario for the European society in the 2050:;A quarter of the global population is affected by climate-related migration
Anticipate a future scenario for the European society in the 2050:;the social cohesion of European societies is still diverse, but overall more homogeneous than in 2020
Anticipate a future scenario for the European society in the 2050:;the total population of Europe decreases to 150 million by 2050
Anticipate a future scenario for the European society in the 2050:;the political consensus on the importance of nature is high, and both public funding for research in this area as well as private investment have increased
Anticipate a future scenario for the European society in the 2050:;we are heading towards a society in which people live with the consequences of extreme weather events and rising sea levels
Anticipate a future scenario for the European society in the 2050:;The EU is a leader in the global circular economy transition, with strong and proactive policies supporting resource recovery
Anticipate a future scenario for the European society in the 2050:;people spend more time in nature and enjoy a closer connection to their surroundings
Anticipate a future scenario for the European society in the 2050:;The consumption of animal proteins is reduced by 50% compared to the 2020 level
Anticipate a future scenario for the European society in the 2050:;the city is seen as a place of innovation and progress, but also the most vulnerable to climate change
Anticipate a future scenario for the European society in the 2050:;Local communities have gained more influence and are able to decide on certain issues themselves
Anticipate a future scenario for the European society in the 2050:;The EU has adopted a comprehensive set of policies and measures to reduce its dependence on imported food
Anticipate a future scenario for the European society in the 2050:;the world is on the brink of global disaster due to extreme weather events, food and water shortages, economic instability and social inequality
Anticipate a future scenario for the European society in the 2050:;the shift towards local and regional food systems has been successful in reducing the environmental footprint of agriculture
Anticipate a future scenario for the European society in the 2050:;The urbanisation process is reversed, and rural areas experience population growth
Anticipate a future scenario for the European society in the 2050:;the world has become a more dangerous place, with international relations becoming strained and conflictual
Anticipate a future scenario for the European society in the 2050:;In the European Union, rural areas are depopulating rapidly
Anticipate a future scenario for the European society in the 2050:;the need for societal and economic resilience has been prioritised, leading to a focus on maintaining existing systems rather than seeking disruptive change
Anticipate a future scenario for the European society in the 2050:;The most extreme effects of climate change are felt in the African and Latin American regions, where crop yields decrease by 25% due to drought
Anticipate a future scenario for the European society in the 2050:;the ‚ÄúDo What You Love‚Äù principle is the main driver for people to find a job
Anticipate a future scenario for the European society in the 2050:;In 2050, European agriculture is characterized by high levels of diversification and specialisation
Anticipate a future scenario for the European society in the 2050:;the extreme weather events of the 2020s have led to a loss in public confidence in climate science and policy
Anticipate a future scenario for the European technology in the 2030:;the combination of technologies such as big data, predictive analytics and the Internet of Things (IoT) with new forms of public-private partnerships has led to a paradigm shift in urban governance
Anticipate a future scenario for the European technology in the 2030:;the development of new technologies is driven by the need to adapt to climate change
Anticipate a future scenario for the European technology in the 2030:;the EU is leading in digital transformation, with a strong position in the fields of artificial intelligence and data-driven services
Anticipate a future scenario for the European technology in the 2030:;new technologies are available for use in the private sector, but it is unclear how they can be used to improve public services
Anticipate a future scenario for the European technology in the 2030:;the development of autonomous vehicles is progressing rapidly, with the EU being among the first movers
Anticipate a future scenario for the European technology in the 2030:;the fusion of AI and digitalization creates new opportunities for innovation in the public sector
Anticipate a future scenario for the European technology in the 2030:;the EU is still leading in research and innovation, but other countries are catching up
Anticipate a future scenario for the European technology in the 2030:;the European Commission has launched a new initiative to promote the development of ethical AI
Anticipate a future scenario for the European technology in the 2030:;Europe's competitiveness in technology and innovation is dependent on public funding
Anticipate a future scenario for the European technology in the 2030:;there is a high level of investment in research and innovation, but it takes longer to bring new technologies into the market
Anticipate a future scenario for the European technology in the 2030:;The digitalization of the public sector has progressed, but there is still a lack of trust in government data
Anticipate a future scenario for the European technology in the 2030:;the widespread use of digital technologies for the development and implementation of new concepts, as well as networking in virtual innovation communities
Anticipate a future scenario for the European technology in the 2030:;European tech companies thrive in a globalised world, while the EU27 faces challenges maintaining competitiveness and protecting citizens‚Äö√Ñ¢ data
Anticipate a future scenario for the European technology in the 2030:;the digitization of knowledge and cultural assets has led to a fundamental change in the access to information
Anticipate a future scenario for the European technology in the 2030:;Digitalization and the rise of data-driven services have increased access to information, education and employment opportunities for citizens
Anticipate a future scenario for the European technology in the 2030:;the social and political debate about the use of technology in medicine, but also for non-medical purposes
Anticipate a future scenario for the European technology in the 2030:;EU is not able to establish a strong position in the global market of digital services, leading to economic losses and missed opportunities
Anticipate a future scenario for the European technology in the 2030:;EU Member States and private actors are investing in research, innovation and digital transformation
Anticipate a future scenario for the European technology in the 2030:;The use of digital technologies for education and training purposes is widespread
Anticipate a future scenario for the European technology in the 2030:;the EU's technological leadership is challenged by the US and China
Anticipate a future scenario for the European technology in the 2030:;the widespread use of digital services and the increasing digitization in all areas, as well as an increase in security risks through cyber attacks pose challenges for data protection
Anticipate a future scenario for the European technology in the 2030:;a European tech sector with a strong position in ICT and biotech, but dependent on US companies for hardware production
Anticipate a future scenario for the European technology in the 2030:;In the field of digital technologies, Europe has a competitive position in specific areas such as cyber security and cloud computing
Anticipate a future scenario for the European technology in the 2030:;The European technology sector is in a leadership position, with an advanced digital infrastructure and innovative products
Anticipate a future scenario for the European technology in the 2030:;there is a lack of consensus on how to deal with the question of data ownership
Anticipate a future scenario for the European technology in the 2030:;The trend towards the use of digital services is changing fundamental value systems in society
Anticipate a future scenario for the European technology in the 2030:;the trend towards increased use of digital identities and their centralization poses a high risk to the fundamental right to privacy
Anticipate a future scenario for the European technology in the 2030:;The EU is a global leader in AI research and innovation, with the strongest regulatory framework for ethical use of data
Anticipate a future scenario for the European technology in the 2030:;the security and health of users is the central priority
Anticipate a future scenario for the European technology in the 2030:;In the area of digitalization, Europe has achieved a leading position
Anticipate a future scenario for the European technology in the 2040:;The EU is the world leader in AI, robotics and synthetic biology
Anticipate a future scenario for the European technology in the 2040:;The EU invests in sustainable technologies and green jobs, leading to a reduction of imports for renewable energy
Anticipate a future scenario for the European technology in the 2040:;In the areas of AI, robotics and automation, Europe is still a global leader
Anticipate a future scenario for the European technology in the 2040:;the EU has become a global leader in technology and innovation, with the European industry thriving due to favourable economic conditions
Anticipate a future scenario for the European technology in the 2040:;The EU is leading in digital transformation, with the highest level of automation and digitization
Anticipate a future scenario for the European technology in the 2040:;all European countries are actively participating in the EU research and innovation programmes
Anticipate a future scenario for the European technology in the 2040:;The EU invests in green technologies and the circular economy, while maintaining its leadership position in sustainable agriculture
Anticipate a future scenario for the European technology in the 2040:;The EU is a leader in the digital transformation, but it lags behind in artificial intelligence and quantum computing
Anticipate a future scenario for the European technology in the 2040:;Cyber attacks and data manipulation have caused a crisis of trust in technology, leading to the re-regulation of digital platforms
Anticipate a future scenario for the European technology in the 2040:;the EU is a global leader in technology, with an advanced digital infrastructure and public services
Anticipate a future scenario for the European technology in the 2040:;EU is a global leader in technology, but it faces challenges of social inequality and protectionism
Anticipate a future scenario for the European technology in the 2040:;The EU invests in green technologies and energy efficiency, leading to a sustainable economy with reduced dependence on imports
Anticipate a future scenario for the European technology in the 2040:;a third of the population lives in rural areas, while two-thirds live in cities
Anticipate a future scenario for the European technology in the 2040:;The EU invests in digital infrastructure, artificial intelligence (AI) and data protection
Anticipate a future scenario for the European technology in the 2040:;all technology is regulated by the EU, and private companies are only allowed to operate in specific sectors
Anticipate a future scenario for the European technology in the 2040:;the EU invests in research and innovation, the digital transformation is completed by 2030 with strong support for digitization of public services
Anticipate a future scenario for the European technology in the 2040:;Global trends towards sustainability, climate change adaptation and mitigation are being achieved through strong political leadership
Anticipate a future scenario for the European technology in the 2040:;The EU is the leader in technology, with sustainable and inclusive economic growth
Anticipate a future scenario for the European technology in the 2040:;the EU has achieved a leadership position in AI and the technology is used extensively across different sectors
Anticipate a future scenario for the European technology in the 2040:;The EU invests in green technologies and supports the circular economy, leading to increased competitiveness of European companies
Anticipate a future scenario for the European technology in the 2040:;Smart technology has reduced the need for mobility, and new technologies have created jobs in data management
Anticipate a future scenario for the European technology in the 2040:;The EU has prioritised technological innovation, with the aim of becoming a global leader in green technology
Anticipate a future scenario for the European technology in the 2040:;in response to global crises, the EU has prioritised sustainability and climate action
Anticipate a future scenario for the European technology in the 2040:;the EU has adopted new digital and data privacy laws, leading to more control over personal data
Anticipate a future scenario for the European technology in the 2040:;a more resilient and sustainable European agriculture, based on high-quality products
Anticipate a future scenario for the European technology in the 2040:;Europe invests in technology and focuses on sustainable agriculture, but its market share decreases
Anticipate a future scenario for the European technology in the 2040:;Cyber attacks, data fraud and privacy concerns are prevalent in the digitalised society
Anticipate a future scenario for the European technology in the 2040:;EU invests in research and innovation to address societal challenges, but fails to implement policies that support the transition towards a sustainable economy
Anticipate a future scenario for the European technology in the 2040:;the EU is the world leader in digital transformation, but it lags behind China and USA in AI innovation
Anticipate a future scenario for the European technology in the 2040:;In the areas of health, mobility and urban development technology is used to increase efficiency
Anticipate a future scenario for the European technology in the 2050:;The EU invests in research and innovation for climate-friendly technologies, supporting the transition towards a green economy
Anticipate a future scenario for the European technology in the 2050:;The EU is a world leader in the circular economy, with its policies and initiatives supporting domestic businesses
Anticipate a future scenario for the European technology in the 2050:;Biotech breakthroughs improve crop yields and reduce food waste, but large-scale monoculture is vulnerable to disease
Anticipate a future scenario for the European technology in the 2050:;Sustainability is achieved through the use of technology, strict regulations and societal change
Anticipate a future scenario for the European technology in the 2050:;In the field of biotechnology, Europe has developed a competitive edge in industrial fermentation and synthetic biology
Anticipate a future scenario for the European technology in the 2050:;The EU invests in R&I to develop new technology solutions for the circular economy, and a strong regulatory framework is implemented to reduce emissions
Anticipate a future scenario for the European technology in the 2050:;The EU's policies and programmes have been instrumental in achieving the energy transition
Anticipate a future scenario for the European technology in the 2050:;A comprehensive digital infrastructure is established in the EU to support green and circular economy technologies
Anticipate a future scenario for the European technology in the 2050:;The most important driver for change in the technology sector is climate action
Anticipate a future scenario for the European technology in the 2050:;Global carbon neutrality is achieved through a balance of sustainable bioenergy, electrification and CO2 capture
Anticipate a future scenario for the European technology in the 2050:;the EU is a global leader in climate action and sustainability, with clean energy being the main source of electricity
Anticipate a future scenario for the European technology in the 2050:;In the field of technology, Europe is a follower in terms of innovation and breakthroughs
Anticipate a future scenario for the European technology in the 2050:;Investments in R&D and innovation are at the core of European policy, but public funding is limited
Anticipate a future scenario for the European technology in the 2050:;By 2050, a large share of the EU agricultural area is converted to agroforestry
Anticipate a future scenario for the European technology in the 2050:;In the EU, public investment in research and innovation has increased to 1
Anticipate a future scenario for the European technology in the 2050:;The world has been divided into two groups: those who have access to the latest technology and can afford it, and others whose living conditions are deteriorating
Anticipate a future scenario for the European technology in the 2050:;the political and social consensus for the implementation of radical technological measures to counter climate change has been reached
Anticipate a future scenario for the European technology in the 2050:;the development of new technologies is still possible, but the process has become very bureaucratic and expensive
Anticipate a future scenario for the European technology in the 2050:;the global supply chains are fragmented and the EU has to rely on domestic production for critical materials
Anticipate a future scenario for the European technology in the 2050:;the knowledge of the past and access to abundant resources enable humanity to reach a new balance with nature
Anticipate a future scenario for the European technology in the 2050:;The EU has prioritised the transition of its agricultural sector to fully sustainable practices, which is achieved by 2050
Anticipate a future scenario for the European technology in the 2050:;The EU has a world-class digital infrastructure, with fast and reliable internet access across the whole territory
Anticipate a future scenario for the European technology in the 2050:;Decentralised energy systems are widespread and large-scale hydrogen production is possible using renewable energies
Anticipate a future scenario for the European technology in the 2050:;the political will to address the climate change and social inequality has decreased, leading to a situation where both have increased
Anticipate a future scenario for the European technology in the 2050:;The development of digital services and the implementation of artificial intelligence has been highly advanced in Europe, but other technologies have not progressed as fast
Anticipate a future scenario for the European technology in the 2050:;the gap between the developed and developing world is still large, with most of Africa not yet having access to electricity
Anticipate a future scenario for the European technology in the 2050:;the EU is leading in digital transformation and sustainability, but lagging behind on climate change
Anticipate a future scenario for the European technology in the 2050:;the EU is a world leader in the development of AI and digital transformation, which have helped to address climate change
Anticipate a future scenario for the European technology in the 2050:;the EU has prioritised investment in sustainable technologies, leading to a reduced dependence on external supply for food and energy
Anticipate a future scenario for the European technology in the 2050:;The market for domestically produced food increases, and agroecology becomes the dominant agricultural system
Anticipate a future scenario for the European science in the 2030:;The EU member states pursue individual strategies in research and innovation, leading to an uncoordinated European R&I landscape
Anticipate a future scenario for the European science in the 2030:;the number of publications from African countries increased significantly
Anticipate a future scenario for the European science in the 2030:;there is a strong consensus that the EU has to do more in science, technology and innovation (STI) if it wants to remain globally competitive
Anticipate a future scenario for the European science in the 2030:;the share of the EU in global research and innovation expenditure is expected to decrease from its 2020 level
Anticipate a future scenario for the European science in the 2030:;the state of the art in research and innovation is characterized by a multidisciplinary, interdisciplinary cooperation
Anticipate a future scenario for the European science in the 2030:;the increasing importance of the African continent for research and innovation is apparent
Anticipate a future scenario for the European science in the 2030:;EU invests in strategic technologies and infrastructure, but neglects maintenance of existing assets
Anticipate a future scenario for the European science in the 2030:;due to the shrinking of state budgets, scientific cooperation is increasingly moving towards transnationalization
Anticipate a future scenario for the European science in the 2030:;the global convergence of science and media leads to a blurring of boundaries between academic knowledge, journalism and entertainment
Anticipate a future scenario for the European science in the 2030:;the EU invests in green technologies and energy efficiency, but does not achieve its carbon neutrality goal by 2050
Anticipate a future scenario for the European science in the 2030:;the political system and society are still highly fragmented, preventing the European Union from effectively addressing global challenges
Anticipate a future scenario for the European science in the 2030:;the political will to create an effective European research area is lacking
Anticipate a future scenario for the European science in the 2030:;due to the global competition, European research and innovation are under pressure
Anticipate a future scenario for the European science in the 2030:;there is a clear trend towards more knowledge transfer and commercialization of research results
Anticipate a future scenario for the European science in the 2030:;the EU is a global leader in sustainable development, with strong green and blue industries
Anticipate a future scenario for the European science in the 2030:;the development of new, digital and global standards for research outputs (e
Anticipate a future scenario for the European science in the 2030:;The EU is a leading player in the global research and innovation landscape, with excellence in key areas
Anticipate a future scenario for the European science in the 2030:;the EU is not competitive in the global knowledge economy, and its scientific output decreases
Anticipate a future scenario for the European science in the 2030:;the value of the commons is increasingly perceived as a prerequisite for sustainable and competitive research
Anticipate a future scenario for the European science in the 2030:;The European research and innovation is strongly oriented towards solving the challenges of tomorrow
Anticipate a future scenario for the European science in the 2030:;the US and China dominate the global research landscape
Anticipate a future scenario for the European science in the 2030:;the EU does not invest in R&I, and its share of the world's GDP decreases
Anticipate a future scenario for the European science in the 2030:;the political will to increase the EU's scientific and technological capacity is strong, but implementation is slow
Anticipate a future scenario for the European science in the 2030:;the increasing number of private research and innovation facilities is a major challenge for the public sector
Anticipate a future scenario for the European science in the 2030:;the political and economic integration has progressed to the extent that a large part of national budgets is managed at EU level
Anticipate a future scenario for the European science in the 2030:;the paradigm shift in the scientific publication system towards open access has been implemented successfully
Anticipate a future scenario for the European science in the 2030:;EU invests in research and innovation to become a global leader
Anticipate a future scenario for the European science in the 2030:;The EU's strong research and innovation performance has not translated into a competitive economy, as the lack of political will to implement structural reforms slows down economic recovery
Anticipate a future scenario for the European science in the 2030:;In the fields of fundamental research, EU member states show a strong commitment to maintain and even increase their level of investment
Anticipate a future scenario for the European science in the 2030:;In the area of research and innovation, Europe has become more fragmented with a declining share in global R&I expenditure
Anticipate a future scenario for the European science in the 2040:;the EU is a global leader in green technologies and circular economy, with leadership positions also achieved in agroecology
Anticipate a future scenario for the European science in the 2040:;the EU invests in research and innovation to achieve sustainable development goals
Anticipate a future scenario for the European science in the 2040:;EU is a leader in sustainable development and environmental protection, with strong policies to achieve this position
Anticipate a future scenario for the European science in the 2040:;the EU is a leading player in the global knowledge economy, with strong science and innovation performance
Anticipate a future scenario for the European science in the 2040:;European countries invest in science and innovation, which enables them to be globally competitive
Anticipate a future scenario for the European science in the 2040:;the EU invests in basic research and critical infrastructures, while China is the leading power for innovation
Anticipate a future scenario for the European science in the 2040:;Research and innovation are driven by the need to adapt to changing conditions, with a focus on sustainability
Anticipate a future scenario for the European science in the 2040:;the EU is a leading player in the field of AI, robotics and synthetic biology
Anticipate a future scenario for the European science in the 2040:;the EU invests in strategic research areas, supporting European industry
Anticipate a future scenario for the European science in the 2040:;Science and innovation are used to address societal challenges, but the use of science for political purposes raises questions about independence
Anticipate a future scenario for the European science in the 2040:;the EU is a leading player in science and innovation, but dependent on external actors for access to critical technologies
Anticipate a future scenario for the European science in the 2040:;EU is a leader in sustainable technologies, but its industry faces competition from global players
Anticipate a future scenario for the European science in the 2040:;Science is mainly used to serve the interests of corporations and national states
Anticipate a future scenario for the European science in the 2040:;the European Union is still a major player in research and innovation, with the EU-funded programs supporting breakthrough technologies
Anticipate a future scenario for the European science in the 2040:;In the fields of science and innovation, Europe has a strong position in sustainable technologies
Anticipate a future scenario for the European science in the 2040:;research and innovation are mainly driven by the private sector, with little contribution from public institutions
Anticipate a future scenario for the European science in the 2040:;the European research and innovation system is still dependent on public funding, while the private sector plays a crucial role in turning scientific breakthroughs into products
Anticipate a future scenario for the European science in the 2040:;In the field of health, there is a strong focus on mental health and wellbeing
Anticipate a future scenario for the European science in the 2040:;the EU has a competitive position in the fields of artificial intelligence, robotics and space technology
Anticipate a future scenario for the European science in the 2040:;the European Union invests in research and innovation, but its competitiveness suffers due to the lack of effective industrial policies
Anticipate a future scenario for the European science in the 2040:;in the field of research and innovation, Europe is a follower in global terms
Anticipate a future scenario for the European science in the 2040:;European countries invest in research and innovation, but they still lag behind the USA and China
Anticipate a future scenario for the European science in the 2040:;In the field of research, Europe has become a follower in global collaboration
Anticipate a future scenario for the European science in the 2040:;the EU is still a leading player in research and innovation, but its global leadership position has been challenged by the US
Anticipate a future scenario for the European science in the 2040:;The EU invests in research and innovation to maintain its position as a global leader
Anticipate a future scenario for the European science in the 2040:;Europe is falling behind in science and technology, while China and the USA are leading
Anticipate a future scenario for the European science in the 2040:;The EU invests in research and innovation, attracting talent from around the world
Anticipate a future scenario for the European science in the 2040:;The EU invests in R&I to improve its competitiveness and leadership position, leading to a more diverse research landscape
Anticipate a future scenario for the European science in the 2040:;EU is a leader in AI and the digital transformation, but lags behind other countries on green technologies
Anticipate a future scenario for the European science in the 2040:;the EU has prioritized investment in research and innovation, which is a driver of growth for the economy
Anticipate a future scenario for the European science in the 2050:;The EU invests in the development of synthetic food and plant production to reduce dependence on imports
Anticipate a future scenario for the European science in the 2050:;The share of public expenditure on education, research and innovation is constant at ca
Anticipate a future scenario for the European science in the 2050:;the most advanced research and innovation in the EU is concentrated on sustainability
Anticipate a future scenario for the European science in the 2050:;the lack of food has become a problem for the majority of European citizens
Anticipate a future scenario for the European science in the 2050:;the research and innovation are driven by the need to adapt to a changing climate
Anticipate a future scenario for the European science in the 2050:;the EU has achieved a sustainable bioeconomy through the implementation of stringent regulatory frameworks, which have favoured investments in research and innovation
Anticipate a future scenario for the European science in the 2050:;The EU invests in green technologies and carbon capture, with a focus on sustainable agriculture
Anticipate a future scenario for the European science in the 2050:;Europe is less competitive in the global research and innovation landscape
Anticipate a future scenario for the European science in the 2050:;EU invests in green technologies and energy efficiency, but fails to address structural changes
Anticipate a future scenario for the European science in the 2050:;In 2050, agriculture and food processing are entirely carbon neutral
Anticipate a future scenario for the European science in the 2050:;in the field of research and innovation, European countries have lost their leading position
Anticipate a future scenario for the European science in the 2050:;the effects of the economic and ecological crises have led to a retreat from globalisation
Anticipate a future scenario for the European science in the 2050:;the world has become more diverse and less unequal
Anticipate a future scenario for the European science in the 2050:;the knowledge production is mainly based on open science principles
Anticipate a future scenario for the European science in the 2050:;the world is heading towards a global equilibrium, where all needs are met
Anticipate a future scenario for the European science in the 2050:;the best research facilities are found in the African Union
Anticipate a future scenario for the European science in the 2050:;the EU is still a global leader in science and innovation, but it has to rely on third countries for critical raw materials
Anticipate a future scenario for the European science in the 2050:;in the EU, science and innovation are mainly driven by environmental concerns
Anticipate a future scenario for the European science in the 2050:;Research and innovation are primarily driven by the need to mitigate climate change
Anticipate a future scenario for the European science in the 2050:;research and innovation are driven by the necessity to survive
